,Model,GenderSelf,Feminine,Attractive,Image,y_label,LL,dist_centre_F,dist_centre_H,LL_M,LL_F,pF_svm_linear,pF_svm_rbf
0,AF-200,F,5.62962963,4.111111111,CFD-AF-200-228-N.jpg,0,221.33353066102512,0.8303449749946594,0.9588027000427246,,217.19929038520868,0.9965227666135079,0.9983828592510565
1,AF-201,F,4.111111111,3.111111111,CFD-AF-201-060-N.jpg,1,260.73718321221145,0.8196722269058228,0.9040421843528748,,252.49395002664824,0.8715927727485625,0.9251472914057118
2,AF-202,F,3.206896552,3,CFD-AF-202-122-N.jpg,2,247.2012454077016,0.8015566468238831,0.8415609002113342,,237.25992401780397,0.7775637036756207,0.7869353787498479
3,AF-203,F,5,3.275862069,CFD-AF-203-077-N.jpg,3,235.27818048591413,0.8155147433280945,0.854296863079071,,217.87069898563854,0.5901835002187348,0.630778253709179
4,AF-204,F,4.62962963,3.172413793,CFD-AF-204-067-N.jpg,4,211.34480047763358,0.8490423560142517,0.9642733931541443,,196.79062871647793,0.9991855140252217,0.9993546080751448
5,AF-205,F,5.076923077,4.333333333,CFD-AF-205-155-N.jpg,5,250.5708389220707,0.7975829243659973,0.9151049852371216,,248.93253685472808,0.9976588831552227,0.9958315839680011
6,AF-206,F,3.761904762,2.714285714,CFD-AF-206-079-N.jpg,6,230.48837319003854,0.8548370003700256,0.9762860536575317,,225.1230762384035,0.9881458670403127,0.9945418931174513
7,AF-207,F,3.482758621,2.137931034,CFD-AF-207-023-N.jpg,7,204.0251071473206,0.9398888349533081,0.9754878878593445,,201.51668437428026,0.9853667424241357,0.9777793732660701
8,AF-208,F,3.576923077,3.038461538,CFD-AF-208-003-N.jpg,8,197.4494049129243,0.8503904938697815,0.8711475133895874,,192.55190721483905,0.9909767174641544,0.987149139897091
9,AF-209,F,4.84,4.08,CFD-AF-209-006-N.jpg,9,235.33446853853272,0.7558569312095642,0.7932474613189697,,232.57797408094956,0.9490224666396446,0.9285363234090201
10,AF-210,F,4,2.615384615,CFD-AF-210-050-N.jpg,10,246.98594647915726,0.8115950226783752,0.8890919089317322,,250.0693642057374,0.9932435964163719,0.9889976964770747
11,AF-211,F,4.115384615,3.307692308,CFD-AF-211-066-N.jpg,11,235.63306640006297,0.784246563911438,0.8628554344177246,,227.03030300504844,0.9177526290952509,0.9276244373291862
12,AF-212,F,4.785714286,2.607142857,CFD-AF-212-097-N.jpg,12,201.01470813607256,0.8812974691390991,0.9819939732551575,,186.66204216461972,0.9948613956494681,0.9974228434367913
13,AF-213,F,5.090909091,3,CFD-AF-213-126-N.jpg,13,228.54628134441026,0.8614473938941956,0.9208773970603943,,214.6253886649398,0.6569850140804729,0.5949654324569851
